country;ifs;wdi;year;directedcredit;creditceilings;creditcontrols;intratecontrols;entrybarriers;bankingsuperv;privatization;intlcapital;securitymarkets;finreform;finreform_n;large_reversal;reversal;reform;large_reform;status_quo;Advanced;Emerging_Asia;Latin_America;SSA;Transition;MENA
Albania;914;ALB;1991;0;0;0;0;0;0;0;2;0;2;0.0952381;;;;;;0;0;0;0;1;0
Albania;914;ALB;1992;1;0;0.75;0;1;0;0;2;0;3.75;0.1785714;0;0;1;0;0;0;0;0;0;1;0
Albania;914;ALB;1993;1;0;0.75;0;3;0;0;3;1;7.75;0.3690476;0;0;0;1;0;0;0;0;0;1;0
Albania;914;ALB;1994;2;0;1.5;0;3;0;0;3;1;8.5;0.4047619;0;0;1;0;0;0;0;0;0;1;0
Albania;914;ALB;1995;2;0;1.5;0;3;0;0;3;1;8.5;0.4047619;0;0;0;0;1;0;0;0;0;1;0
Albania;914;ALB;1996;2;0;1.5;0;3;1;0;3;1;9.5;0.452381;0;0;1;0;0;0;0;0;0;1;0
Albania;914;ALB;1997;2;0;1.5;1;3;1;0;3;1;10.5;0.5;0;0;1;0;0;0;0;0;0;1;0
Albania;914;ALB;1998;2;0;1.5;1;3;1;0;3;1;10.5;0.5;0;0;0;0;1;0;0;0;0;1;0
Albania;914;ALB;1999;2;1;2.25;1;3;2;0;3;1;12.25;0.5833333;0;0;1;0;0;0;0;0;0;1;0
Albania;914;ALB;2000;2;1;2.25;3;3;2;0;3;1;14.25;0.6785714;0;0;1;0;0;0;0;0;0;1;0
Albania;914;ALB;2001;2;1;2.25;3;3;2;0;3;1;14.25;0.6785714;0;0;0;0;1;0;0;0;0;1;0
Albania;914;ALB;2002;2;1;2.25;3;3;2;0;3;1;14.25;0.6785714;0;0;0;0;1;0;0;0;0;1;0
Albania;914;ALB;2003;3;1;3;3;3;2;0;3;0;14;0.6666667;0;1;0;0;0;0;0;0;0;1;0
Albania;914;ALB;2004;3;1;3;3;3;2;3;3;0;17;0.8095238;0;0;0;1;0;0;0;0;0;1;0
Albania;914;ALB;2005;3;1;3;3;3;3;3;3;0;18;0.8571429;0;0;1;0;0;0;0;0;0;1;0
Algeria;612;DZA;1973;1;1;1.5;0;1;0;0;0;0;2.5;0.1190476;;;;;;0;0;0;0;0;1
Algeria;612;DZA;1974;1;1;1.5;0;1;0;0;0;0;2.5;0.1190476;0;0;0;0;1;0;0;0;0;0;1
Algeria;612;DZA;1975;1;1;1.5;0;1;0;0;0;0;2.5;0.1190476;0;0;0;0;1;0;0;0;0;0;1
Algeria;612;DZA;1976;1;1;1.5;0;1;0;0;0;0;2.5;0.1190476;0;0;0;0;1;0;0;0;0;0;1
Algeria;612;DZA;1977;1;1;1.5;0;1;0;0;0;0;2.5;0.1190476;0;0;0;0;1;0;0;0;0;0;1
