iso3;iso2;imfn;country;region;income;year;ai01;ai02;ai30;ai31;di01;di12;di14;dm01;dm02;dm03;dm05;dm12;ei01;si02;si04;sm01;oi02;oi08;oi09;oi19;om01;om02;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1970;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1971;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1972;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1973;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1974;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1975;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1976;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1977;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1978;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1979;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1980;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1981;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1982;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1983;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1984;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1985;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1986;;;;;;;39.48;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1987;;;;;;;39.45;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1988;;;;;;;43.79;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1989;;;;;;;43.37;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1990;;;;;;;44.48;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1991;;;;;;;44.22;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1992;;;;;;;43.29;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1993;;;;;;;40.91;;;;;;;;;;;6.74;9.51;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1994;;;;;976.80;976.80;42.45;;;;;;;;;;;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1995;;;;;43.07;43.07;43.07;;;;;;;;86.25;;48.20;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1996;;;;;45.42;45.42;45.41;;;;;;;;89.26;;48.60;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1997;;;;;43.23;43.23;43.23;;;;;;;;92.68;;45.50;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1998;;;;;41.88;41.88;41.88;;;;;;;;85.36;;47.82;;;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1999;;;;;44.62;44.62;44.62;;;;;;;;83.57;;50.74;;1.04;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2000;;;;;44.80;44.80;44.80;;;;;;;;89.79;;47.85;;0.96;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2001;;;;;46.01;46.01;46.02;;;;;;;;91.12;;49.24;;0.94;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2002;;;;;51.33;51.33;51.33;;;;;;;;88.76;;54.51;;0.93;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2003;;;;;55.63;55.63;55.64;;;;;;;;91.31;;57.67;;0.89;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2004;;;;;52.40;52.40;52.40;;;;;;;;96.24;;53.67;;0.81;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2005;;;;;54.73;54.73;54.74;;;;;;;;97.04;;54.27;;0.77;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2006;;;;;54.89;54.89;54.89;;;;0.74;;;;101.55;;53.45;2.14;2.89;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2007;;;;;52.96;52.96;52.96;;;;0.69;;;;101.99;;51.05;1.76;4.44;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2008;;;;;52.46;52.46;52.46;;;;0.66;2.19;;;94.81;;57.10;;6.30;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2009;;;;;57.12;57.12;57.12;;;;0.72;3.00;;;86.45;;66.79;;6.92;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2010;;;;;60.35;60.35;60.35;;;;0.75;;;;85.99;;69.60;;7.24;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2011;;20.96;;;58.20;58.20;58.19;;;;0.71;;;;89.22;;65.18;;6.79;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2012;;21.96;;;60.55;60.55;60.55;;;;0.71;;;;84.73;;70.93;;16.81;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2013;;19.29;;;62.55;62.55;59.16;;;;0.67;;;;91.91;;66.60;;13.53;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2014;;19.06;;;63.46;63.46;60.24;;;;0.65;;;;90.42;;68.49;;13.22;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2015;;18.86;;;62.34;62.34;56.63;;;;;;;;83.89;;73.98;;11.85;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2016;;19.83;;;64.26;64.26;57.22;;;;;;;;76.86;;82.41;;11.76;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2017;;18.51;;;66.09;66.09;57.25;;;;;;;;77.62;;82.86;;11.35;0;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2018;;17.24;;;65.06;65.06;57.26;;;;;;;;78.90;;81.58;-1.62;13.24;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2019;;14.84;;;69.12;69.12;;;;;;;;;79.06;;83.93;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1960;;;;;1.94;1.94;9.27;;;;;;;;615.47;;0.32;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1961;;;;;1.94;1.94;8.75;;;;;;;;415.26;;0.46;;;;;;;;;;;;;;
