Country;Variable;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Albania;Financial Development Index;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.13;0.12;0.11;0.09;0.11;0.09;0.1;0.1;0.11;0.11;0.11;0.11;0.13;0.14;0.16;0.19;0.19;0.2;0.2;0.2;0.2;0.2;0.19;0.19;0.19;0.19;0.19;0.19
Albania;Financial Institutions Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.13;0.09;0.08;0.06;0.09;0.09;0.09;0.09;0.1;0.11;0.12;0.13;0.17;0.22;0.3;0.39;0.42;0.42;0.43;0.43;0.42;0.4;0.4;0.4;0.37;0.36;0.34;0.35
Albania;Financial Institutions Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.04;0.04;0.04;0.05;0.06;0.08;0.09;0.09;0.09;0.1;0.11;0.12;0.13;0.13;0.13;0.13;0.12;0.12;0.13
Albania;Financial Institutions Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0.71;0.71;0.65;0.64;0.53;0.59;0.5;0.56;0.53;0.57;0.57;0.55;0.56;0.6;0.57;0.59;0.65;0.6;0.62;0.62;0.61;0.6;0.63;0.56;0.58;0.61;0.59;0.65;0.64
Albania;Financial Institutions Index;0;0;0;0;0;0;0;0;0;0;0;0;0.26;0.25;0.22;0.21;0.17;0.2;0.18;0.19;0.19;0.2;0.21;0.21;0.22;0.25;0.27;0.31;0.38;0.38;0.38;0.39;0.39;0.39;0.39;0.38;0.38;0.37;0.36;0.37;0.37
Albania;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albania;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0.04;0.03;0.02;0.02;0.03;0.03;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02
Albania;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albania;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0.01;0.01;0.01
Algeria;Financial Development Index;0.09;0.1;0.11;0.11;0.11;0.11;0.11;0.14;0.14;0.14;0.13;0.13;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.11;0.12;0.12;0.11;0.11;0.12;0.12;0.13;0.13;0.13;0.12;0.12;0.12;0.13;0.13;0.13;0.13;0.14;0.13;0.14
