idcode;Year;Country_Code;Household_Savings
18;1982;ISR;16.4
18;1983;ISR;14.2
18;1984;ISR;28.2
18;1985;ISR;16.7
18;1986;ISR;5.4
18;1987;ISR;5.5
18;1988;ISR;8.5
18;1989;ISR;11.7
18;1990;ISR;14.4
18;1991;ISR;16.5
18;1992;ISR;16.9
18;1993;ISR;14.8
18;1994;ISR;13.0
18;1995;ISR;22.8
18;1996;ISR;24.4
18;1997;ISR;24.2
18;1998;ISR;23.4
18;1999;ISR;16.5
18;2000;ISR;13.2
18;2001;ISR;15.1
18;2002;ISR;17.3
18;2003;ISR;13.4
18;2004;ISR;13.6
18;2005;ISR;15.9
18;2006;ISR;15.3
18;2007;ISR;14.0
18;2008;ISR;14.6
18;2009;ISR;18.7
18;2010;ISR;17.3
18;2011;ISR;17.5
18;2012;ISR;17.3
18;2013;ISR;18.8
18;2014;ISR;19.2
18;2015;ISR;18.8
18;2016;ISR;18.7
18;2017;ISR;18.6
18;2018;ISR;20.8
18;2019;ISR;21.7
18;2020;ISR;31.7
18;2021;ISR;26.1
;;;
