"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1960","1960","PC","Percentage","0","Units",,,-3.7255241726,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1961","1961","PC","Percentage","0","Units",,,-0.1774165856,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1962","1962","PC","Percentage","0","Units",,,-0.8948304674,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1963","1963","PC","Percentage","0","Units",,,-0.1382716049,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1964","1964","PC","Percentage","0","Units",,,-1.2276283838,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1965","1965","PC","Percentage","0","Units",,,-3.5971223022,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1966","1966","PC","Percentage","0","Units",,,-1.9936671749,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1967","1967","PC","Percentage","0","Units",,,-2.496733411,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1968","1968","PC","Percentage","0","Units",,,-3.518824253,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1969","1969","PC","Percentage","0","Units",,,-1.9155432654,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1970","1970","PC","Percentage","0","Units",,,-1.502668532,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1971","1971","PC","Percentage","0","Units",,,-1.265733774,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1972","1972","PC","Percentage","0","Units",,,1.3170272813,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1973","1973","PC","Percentage","0","Units",,,1.0863464359,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1974","1974","PC","Percentage","0","Units",,,-2.5773195876,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1975","1975","PC","Percentage","0","Units",,,-0.7208073042,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1976","1976","PC","Percentage","0","Units",,,-1.3713173494,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1977","1977","PC","Percentage","0","Units",,,-2.4279994834,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1978","1978","PC","Percentage","0","Units",,,-3.2544991312,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1979","1979","PC","Percentage","0","Units",,,-1.5610046909,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1980","1980","PC","Percentage","0","Units",,,-2.3606060395,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1981","1981","PC","Percentage","0","Units",,,-4.2304514749,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1982","1982","PC","Percentage","0","Units",,,-4.1462446078,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1983","1983","PC","Percentage","0","Units",,,-3.2206871268,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1984","1984","PC","Percentage","0","Units",,,-4.2259349069,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1985","1985","PC","Percentage","0","Units",,,-4.9654602823,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1986","1986","PC","Percentage","0","Units",,,-5.0672227728,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1987","1987","PC","Percentage","0","Units",,,-3.4206173749,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","1988","1988","PC","Percentage","0","Units",,,-3.8798806102,,
