"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1960","1960","CHLD","Children","0","Units",,,3.95,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1961","1961","CHLD","Children","0","Units",,,3.8,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1962","1962","CHLD","Children","0","Units",,,3.77,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1963","1963","CHLD","Children","0","Units",,,3.81,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1964","1964","CHLD","Children","0","Units",,,3.93,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1965","1965","CHLD","Children","0","Units",,,3.99,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1966","1966","CHLD","Children","0","Units",,,3.89,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1967","1967","CHLD","Children","0","Units",,,3.64,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1968","1968","CHLD","Children","0","Units",,,3.82,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1969","1969","CHLD","Children","0","Units",,,3.83,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1970","1970","CHLD","Children","0","Units",,,3.97,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1971","1971","CHLD","Children","0","Units",,,3.94,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1972","1972","CHLD","Children","0","Units",,,3.71,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1973","1973","CHLD","Children","0","Units",,,3.68,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1974","1974","CHLD","Children","0","Units",,,3.71,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1975","1975","CHLD","Children","0","Units",,,3.68,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1976","1976","CHLD","Children","0","Units",,,3.7,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","1977","1977","CHLD","Children","0","Units",,,3.47,,
