"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2001",4.3395875852933,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2002",4.3180471274228,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2003",4.1449011186576,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2004",3.5618047016709,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2005",3.5816710320454,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2006",3.7799336815579,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2007",3.2562296093473,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2008",5.5545735462247,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2009",4.6394381619964,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2010",4.4819701924238,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2011",4.509488861541,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2012",4.7464457205577,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2013",5.020243208,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2014",5.312313789419,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2015",5.9189231263553,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2016",6.0052373256322,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2017",6.8201554953299,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2018",5.8526605289195,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2019",5.7580351107196,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2001",0.17274225679909,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2002",0.1583432869406,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2003",0.15058065026999,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2004",0.16306739564377,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2005",0.17711303625547,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2006",0.18168552325973,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2007",0.27549809751087,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2008",0.19658583195486,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2009",0.19962036875475,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2010",0.2283970059241,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2013",0.30337050207125,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2014",0.30657995306984,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2015",0.29503072477607,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2016",0.24051950476492,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2017",0.23494626672092,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2018",0.24049316084162,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2019",0.25490746055439,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2001",1.3353787184363,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2002",1.4073987057553,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2003",1.3637430114203,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2004",1.3522144093906,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2005",1.2694780837002,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2006",1.2575845389518,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2007",2.6507727063791,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2008",2.5666978425501,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2009",3.1756581305632,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2010",2.8374122754,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2011",3.6436358230678,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2000",2.0142414337293,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2001",2.1851516282044,
