"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.749979,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.8308835,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.8455202,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.8842098,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.8982216,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.8866872,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.8814196,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.9729807,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.132889,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2015",1.263057,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2016",1.15544,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2017",1.283928,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2018",1.226749,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.0848139,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.0941667,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.0952197,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1085892,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.1120239,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.1525076,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.1828677,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.1106903,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.125309,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.1382482,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.1357874,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.1338093,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1881216,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.198055,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.2019454,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1996522,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.2148424,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.2112494,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.2008392,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.9490469,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2005",1.092758,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.9002502,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2009",1.136901,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2010",1.172812,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2011",1.172401,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.9234227,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.9894004,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.006665,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.920499,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2016",1.096771,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2017",1.065671,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2018",1.108996,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","1995",0.2332197,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.1077028,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.1770544,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.2218578,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.235089,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.2378783,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.2518085,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2542751,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.2541833,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.2430583,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.2287368,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.2229136,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.2154202,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.208251,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","1995",0.0095515,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.0362496,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.0546297,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.0708416,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.0814899,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.0889162,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.097861,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.0990549,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.0872719,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.1686125,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.1782735,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.2075922,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","1995",0.0422328,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.0454339,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.0639616,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.0736556,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.0762863,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.074282,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.0762511,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.0701564,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.0706135,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.0619807,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.0585163,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.056618,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.0547928,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.0580042,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.2107361,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.2516789,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.2470329,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.2624131,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.274154,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2858957,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.3051404,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.3096292,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.2966569,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.3073233,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.3073555,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.3188065,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.1348889,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.144459,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.161536,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.1593914,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.170022,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.1719194,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.1715096,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1881391,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.1881889,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.1849652,
