"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2005",67.75842,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",65.64867,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",68.34653,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",67.41874,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",65.47763,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",66.20864,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",67.93802,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",69.44403,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",68.76874,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",67.86572,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","1995",22.61257,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2000",20.60159,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2005",31.02091,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2008",29.86556,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2009",31.31123,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",30.11584,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",32.93738,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",29.67797,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",28.81742,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",29.13626,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",30.90307,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",30.24553,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",42.43426,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","1995",6.289938,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2000",3.699628,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2008",3.108774,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2009",3.902678,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",3.99917,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",4.10392,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",3.956242,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",3.717864,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",4.023935,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",5.856958,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",7.035873,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",6.210323,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","1995",4.565812,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2000",8.579041,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2005",22.23783,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2008",25.8371,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2009",28.48294,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",29.22333,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",22.67106,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",25.70673,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",24.49827,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",22.41565,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",19.77624,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",28.31406,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",28.93394,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",29.26432,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","1995",40.78202,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2000",39.94831,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2005",46.93536,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2008",40.29611,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2009",39.0666,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",35.2841,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",51.00249,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",48.16915,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",47.81796,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",47.18818,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",40.73544,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",46.14399,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",42.10048,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",46.61758,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","1995",19.74266,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2000",23.32058,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",45.56461,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",36.12717,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",30.32362,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",37.05737,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",35.32937,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",32.60025,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",30.5066,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","1995",17.07465,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2000",22.35344,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2005",26.47365,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2008",28.81694,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2009",30.85125,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",31.66112,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",32.50842,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",33.12733,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",31.72242,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",34.13375,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",35.3583,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",35.94971,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",35.14022,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",35.86589,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",5.105193,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",2.014265,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",4.603935,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",4.286397,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",5.961421,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",5.736207,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",5.578425,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",48.09573,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",48.96673,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",48.40908,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",49.40312,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",49.20961,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",46.67519,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2005",22.81275,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2008",15.85626,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2009",14.51098,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2010",14.85214,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2011",13.88108,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",13.39097,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",12.36653,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",13.6609,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",13.0264,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",13.9634,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",12.98931,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2018",11.05917,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",4.85655,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",5.415977,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",5.569183,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",6.231193,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",6.425238,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2017",8.901289,
