"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","1980",10.262,
"AUS","SOCEXP","PUB","PC_GDP","A","1981",10.134,
"AUS","SOCEXP","PUB","PC_GDP","A","1982",11.109,
"AUS","SOCEXP","PUB","PC_GDP","A","1983",11.612,
"AUS","SOCEXP","PUB","PC_GDP","A","1984",11.993,
"AUS","SOCEXP","PUB","PC_GDP","A","1985",12.084,
"AUS","SOCEXP","PUB","PC_GDP","A","1986",11.918,
"AUS","SOCEXP","PUB","PC_GDP","A","1987",12.172,
"AUS","SOCEXP","PUB","PC_GDP","A","1988",11.465,
"AUS","SOCEXP","PUB","PC_GDP","A","1989",11.604,
"AUS","SOCEXP","PUB","PC_GDP","A","1990",13.141,
"AUS","SOCEXP","PUB","PC_GDP","A","1991",14.306,
"AUS","SOCEXP","PUB","PC_GDP","A","1992",15.285,
"AUS","SOCEXP","PUB","PC_GDP","A","1993",15.545,
"AUS","SOCEXP","PUB","PC_GDP","A","1994",15.271,
"AUS","SOCEXP","PUB","PC_GDP","A","1995",16.913,
"AUS","SOCEXP","PUB","PC_GDP","A","1996",17.028,
"AUS","SOCEXP","PUB","PC_GDP","A","1997",16.786,
"AUS","SOCEXP","PUB","PC_GDP","A","1998",17.61,
"AUS","SOCEXP","PUB","PC_GDP","A","1999",17.239,
"AUS","SOCEXP","PUB","PC_GDP","A","2000",18.244,
"AUS","SOCEXP","PUB","PC_GDP","A","2001",17.539,
"AUS","SOCEXP","PUB","PC_GDP","A","2002",17.348,
"AUS","SOCEXP","PUB","PC_GDP","A","2003",17.546,
"AUS","SOCEXP","PUB","PC_GDP","A","2004",17.238,
"AUS","SOCEXP","PUB","PC_GDP","A","2005",16.694,
"AUS","SOCEXP","PUB","PC_GDP","A","2006",15.713,
"AUS","SOCEXP","PUB","PC_GDP","A","2007",15.873,
"AUS","SOCEXP","PUB","PC_GDP","A","2008",17.051,
"AUS","SOCEXP","PUB","PC_GDP","A","2009",16.869,
"AUS","SOCEXP","PUB","PC_GDP","A","2010",16.561,
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.015,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",17.302,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",17.247,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",17.78,
"AUS","SOCEXP","PUB","PC_GDP","A","2015",18.148,
"AUS","SOCEXP","PUB","PC_GDP","A","2016",17.408,
"AUS","SOCEXP","PUB","PC_GDP","A","2017",16.71,
"AUT","SOCEXP","PUB","PC_GDP","A","1980",21.906,
"AUT","SOCEXP","PUB","PC_GDP","A","1985",23.205,
