LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,SHPRICE,TOT,IDX2015,A,1958,2.613002,
AUS,SHPRICE,TOT,IDX2015,A,1959,3.256618,
AUS,SHPRICE,TOT,IDX2015,A,1960,3.966841,
AUS,SHPRICE,TOT,IDX2015,A,1961,3.653984,
AUS,SHPRICE,TOT,IDX2015,A,1962,3.67826,
AUS,SHPRICE,TOT,IDX2015,A,1963,4.027682,
AUS,SHPRICE,TOT,IDX2015,A,1964,4.528525,
AUS,SHPRICE,TOT,IDX2015,A,1965,3.975944,
AUS,SHPRICE,TOT,IDX2015,A,1966,3.951213,
AUS,SHPRICE,TOT,IDX2015,A,1967,4.632608,
AUS,SHPRICE,TOT,IDX2015,A,1968,6.652974,
AUS,SHPRICE,TOT,IDX2015,A,1969,7.317072,
AUS,SHPRICE,TOT,IDX2015,A,1970,7.011195,
AUS,SHPRICE,TOT,IDX2015,A,1971,5.85566,
AUS,SHPRICE,TOT,IDX2015,A,1972,7.038809,
AUS,SHPRICE,TOT,IDX2015,A,1973,6.581208,
AUS,SHPRICE,TOT,IDX2015,A,1974,4.882499,
AUS,SHPRICE,TOT,IDX2015,A,1975,4.592401,
AUS,SHPRICE,TOT,IDX2015,A,1976,5.68406,
AUS,SHPRICE,TOT,IDX2015,A,1977,5.451769,
AUS,SHPRICE,TOT,IDX2015,A,1978,6.177924,
AUS,SHPRICE,TOT,IDX2015,A,1979,7.639335,
AUS,SHPRICE,TOT,IDX2015,A,1980,11.57022,
AUS,SHPRICE,TOT,IDX2015,A,1981,11.70298,
AUS,SHPRICE,TOT,IDX2015,A,1982,8.965257,
AUS,SHPRICE,TOT,IDX2015,A,1983,11.62757,
AUS,SHPRICE,TOT,IDX2015,A,1984,13.21127,
AUS,SHPRICE,TOT,IDX2015,A,1985,16.51881,
AUS,SHPRICE,TOT,IDX2015,A,1986,22.2822,
AUS,SHPRICE,TOT,IDX2015,A,1987,31.04002,
AUS,SHPRICE,TOT,IDX2015,A,1988,26.97814,
AUS,SHPRICE,TOT,IDX2015,A,1989,28.96189,
AUS,SHPRICE,TOT,IDX2015,A,1990,26.76051,
AUS,SHPRICE,TOT,IDX2015,A,1991,27.82293,
AUS,SHPRICE,TOT,IDX2015,A,1992,28.80249,
AUS,SHPRICE,TOT,IDX2015,A,1993,32.66813,
AUS,SHPRICE,TOT,IDX2015,A,1994,36.48568,
AUS,SHPRICE,TOT,IDX2015,A,1995,36.34457,
AUS,SHPRICE,TOT,IDX2015,A,1996,40.20248,
AUS,SHPRICE,TOT,IDX2015,A,1997,45.42818,
AUS,SHPRICE,TOT,IDX2015,A,1998,47.5461,
AUS,SHPRICE,TOT,IDX2015,A,1999,52.8114,
AUS,SHPRICE,TOT,IDX2015,A,2000,58.39363,
AUS,SHPRICE,TOT,IDX2015,A,2001,60.10427,
AUS,SHPRICE,TOT,IDX2015,A,2002,58.74319,
AUS,SHPRICE,TOT,IDX2015,A,2003,55.88747,
AUS,SHPRICE,TOT,IDX2015,A,2004,64.58517,
AUS,SHPRICE,TOT,IDX2015,A,2005,78.48778,
AUS,SHPRICE,TOT,IDX2015,A,2006,93.19911,
AUS,SHPRICE,TOT,IDX2015,A,2007,113.0436,
AUS,SHPRICE,TOT,IDX2015,A,2008,90.91695,
AUS,SHPRICE,TOT,IDX2015,A,2009,74.28973,
AUS,SHPRICE,TOT,IDX2015,A,2010,84.44438,
AUS,SHPRICE,TOT,IDX2015,A,2011,81.73172,
AUS,SHPRICE,TOT,IDX2015,A,2012,78.3949,
AUS,SHPRICE,TOT,IDX2015,A,2013,92.30541,
AUS,SHPRICE,TOT,IDX2015,A,2014,98.61095,
AUS,SHPRICE,TOT,IDX2015,A,2015,100,
AUS,SHPRICE,TOT,IDX2015,A,2016,96.06994,
AUS,SHPRICE,TOT,IDX2015,A,2017,105.6478,
AUS,SHPRICE,TOT,IDX2015,A,2018,109.2051,
AUS,SHPRICE,TOT,IDX2015,A,2019,117.3262,
AUS,SHPRICE,TOT,IDX2015,A,2020,111.1882,
AUT,SHPRICE,TOT,IDX2015,A,1957,5.341806,
AUT,SHPRICE,TOT,IDX2015,A,1958,4.904708,
AUT,SHPRICE,TOT,IDX2015,A,1959,6.468522,
AUT,SHPRICE,TOT,IDX2015,A,1960,8.825379,
AUT,SHPRICE,TOT,IDX2015,A,1961,14.14869,
AUT,SHPRICE,TOT,IDX2015,A,1962,14.72092,
