"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCBENHH","INCASH","PC_GDP","A","1970",3.46962530027985,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1971",3.66280635604632,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1972",4.14400674279063,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1973",4.16901315135654,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1974",5.02546403468159,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1975",5.75818271225878,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1976",6.58381478864458,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1977",7.03180010276514,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1978",6.74725774272029,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1979",6.44243765502696,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1980",6.35194541040614,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1981",6.34049011749859,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1982",7.21866572374011,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1983",7.42400568846308,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1984",7.25317950504218,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1985",7.02685701573372,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1986",6.86949291109698,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1987",6.66391328066969,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1988",6.1630607505195,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1989",6.15840561189809,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1990",7.01485671899873,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1991",7.95752583750372,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1992",8.22366495729574,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1993",8.45981080884149,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1994",8.04203354530392,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1995",8.07739162675262,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1996",8.07414558378591,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1997",7.71667102550429,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1998",7.64054860176125,
