VariableCode,RegionCode,YearCode,AggValue
labsh,BEL,2010,0.61381405591964700
labsh,BEL,2011,0.61833721399307300
labsh,BEL,2012,0.62331724166870100
labsh,BEL,2013,0.62487530708313000
labsh,BEL,2014,0.61700516939163200
labsh,BEL,2015,0.60180115699768100
labsh,BEL,2016,0.59399282932281500
labsh,BEL,2017,0.59328883886337300
labsh,BEL,2018,0.59481096267700200
labsh,BEL,2019,0.59481096267700200
labsh,GTM,1960,0.54626822471618700
labsh,GTM,1961,0.54626822471618700
labsh,GTM,1962,0.54626822471618700
labsh,GTM,1963,0.54626822471618700
labsh,GTM,1964,0.54626822471618700
labsh,GTM,1965,0.54626822471618700
labsh,GTM,1966,0.54626822471618700
labsh,GTM,1967,0.54626822471618700
labsh,GTM,1968,0.54626822471618700
labsh,GTM,1969,0.54626822471618700
labsh,GTM,1970,0.54626822471618700
labsh,GTM,1971,0.54626822471618700
labsh,GTM,1972,0.54626822471618700
labsh,GTM,1973,0.54626822471618700
labsh,GTM,1974,0.54626822471618700
labsh,GTM,1975,0.54626822471618700
labsh,GTM,1976,0.54626822471618700
labsh,GTM,1977,0.54626822471618700
labsh,GTM,1978,0.54626822471618700
labsh,GTM,1979,0.54626822471618700
labsh,GTM,1980,0.54626822471618700
labsh,GTM,1981,0.54626822471618700
labsh,GTM,1982,0.54626822471618700
labsh,GTM,1983,0.54626822471618700
labsh,GTM,1984,0.54626822471618700
labsh,ISL,1960,0.63473272323608400
labsh,ISL,1961,0.63473272323608400
labsh,ISL,1962,0.63473272323608400
labsh,ISL,1963,0.63473272323608400
labsh,ISL,1964,0.63473272323608400
labsh,ISL,1965,0.63473272323608400
labsh,ISL,1966,0.63473272323608400
labsh,ISL,1967,0.63473272323608400
labsh,ISL,1968,0.63473272323608400
labsh,ISL,1969,0.63473272323608400
labsh,ISL,1970,0.63473272323608400
labsh,ISL,1971,0.63473272323608400
labsh,ISL,1972,0.63473272323608400
labsh,ISL,1973,0.63473272323608400
labsh,ISL,1974,0.63473272323608400
labsh,ISL,1975,0.63473272323608400
labsh,ISL,1976,0.63473272323608400
labsh,ISL,1977,0.63473272323608400
labsh,ISL,1978,0.63473272323608400
labsh,ISL,1979,0.63473272323608400
labsh,ISL,1980,0.63473272323608400
labsh,ISL,1981,0.63473272323608400
labsh,ISL,1982,0.63473272323608400
labsh,ISL,1983,0.63473272323608400
labsh,ISL,1984,0.63473272323608400
labsh,ISL,1985,0.63473272323608400
labsh,ISL,1986,0.63473272323608400
labsh,ISL,1987,0.63473272323608400
labsh,ISL,1988,0.63473272323608400
labsh,ISL,1989,0.63473272323608400
labsh,ISL,1990,0.63473272323608400
labsh,ISL,1991,0.63473272323608400
labsh,ISL,1992,0.63473272323608400
labsh,ISL,1993,0.63473272323608400
labsh,ISL,1994,0.63473272323608400
labsh,ISL,1995,0.63473272323608400
labsh,ISL,1996,0.66397458314895600
labsh,ISL,1997,0.59838598966598500
labsh,ISL,1998,0.61397594213485700
labsh,ISL,1999,0.64555865526199300
labsh,ISL,2000,0.64846348762512200
labsh,ISL,2001,0.61550736427307100
labsh,ISL,2002,0.61161273717880200
labsh,ISL,2003,0.63628661632537800
labsh,ISL,2004,0.63318449258804300
labsh,ISL,2005,0.66263651847839400
labsh,ISL,2006,0.67935991287231400
labsh,ISL,2007,0.67016565799713100
labsh,ISL,2008,0.58934414386749300
labsh,ISL,2009,0.51113730669021600
labsh,ISL,2010,0.52554696798324600
labsh,ISL,2011,0.54959154129028300
labsh,ISL,2012,0.56122869253158600
labsh,ISL,2013,0.57000696659088100
labsh,ISL,2014,0.57369166612625100
labsh,ISL,2015,0.57531636953353900
labsh,ISL,2016,0.59423238039016700
labsh,ISL,2017,0.62755000591278100
labsh,ISL,2018,0.64183282852172900
labsh,ISL,2019,0.64183282852172900
labsh,KWT,2006,0.20940403640270200
labsh,KWT,2007,0.22009155154228200
labsh,KWT,2008,0.21212278306484200
labsh,KWT,2009,0.22534137964248700
labsh,KWT,2010,0.23741699755191800
labsh,KWT,2011,0.24534703791141500
labsh,KWT,2012,0.22658875584602400
labsh,KWT,2013,0.24193565547466300
labsh,KWT,2014,0.24949263036251100
labsh,KWT,2015,0.24949263036251100
labsh,KWT,2016,0.24949263036251100
labsh,KWT,2017,0.24949263036251100
labsh,KWT,2018,0.24949263036251100
labsh,KWT,2019,0.24949263036251100
labsh,LAO,1980,0.42068365216255200
labsh,LAO,1981,0.42068365216255200
labsh,LAO,1982,0.42068365216255200
