"idcode","Year","Country_Code","Finreform","Finreform_n","ai01","ai02","ai30","ai31","di01","di12","di14","dm01","dm02","dm03","dm05","dm12","ei01","si02","si04","sm01","oi02","oi08","oi09","oi19","om01","om02","Financial_Development_Index","Financial Institutions Access Index","Financial Institutions Depth Index","Financial Institutions Efficiency Index","Financial Institutions Index","Financial Markets Access Index","Financial Markets Depth Index","Financial Markets Efficiency Index","Financial Markets Index","Inflation","Inflation_OECD","Inflation_WDI","Current_Account_Balance","Current_Account_OECD","Current_Account_WDI","Fiscal_Account_Balance","Fiscal_Account_Balance_OECD","Fiscal_Account_Balance_WDI","CPI","Nominal_Interest_Rate","GDP","Disposable_Income","Birth_Rate","House_Prices","Household_Debt","Net_National_Savings","Educ_Spending_GDP","Educ_Spending_Total","Social_Expenditure","Nominal_Share_Prices","Labour_Share","Gini_SWIID9","gini_disp_se","gini_mkt","gini_mkt_se","Private_Credit","Dependency_Ratio","Pop_Growth","Pop_Density","Pop_Urban","Market_Cap","GDP_Deflator","Net_National_Savings_GNI","Unemployment_Benefits","Social_Insurance","Health_Expenditure","Public_Educ_Spending_Tertiary","Public_Educ_Spending_Total","Top_1_Wealth","Top_10_Wealth","Top_1_Income","Top_10_Income","D_Disposable_Income","D_House_Prices","Interest_Rate","Share_Prices","Top_1Percent_Wealth","Top_10Percent_Wealth","Top_1Percent_Income","Top_10Percent_Income","Delta_Disposable_Income","Delta_House_Prices","Household_Savings","D_GDP","Cent_Union","Cent_Bargaining","Social_Transfers_Cash","Social_Transfers_Kind","Unemployment_Spending","Health_Spending","Pension_Spending_Public","Pension_Spending_Private","D_Household_Savings","D_Top_1Percent_Income","Nominal_Delta_Share_Prices","Delta_Share_Prices"
"1",1980,"AUS",2,0.0952381,NA,NA,NA,NA,25.91,25.91,27.88,39.84,3.3,NA,0.82,NA,NA,NA,72.74,NA,34.44,0.02,3.59,0,68.54,NA,0.29,0.37,0.45,0.37,0.45,0.11,0.11,0.1,0.11,10.13584,10.13584,10.1358411703239,-2.3606060395,-2.3606060395,NA,-0.937959511043118,NA,-0.937959511043118,0.2289669327,11.6475,25245.7381817622,8154.26413309531,1.89,31.7105589029886,NA,10.2827898431861,NA,NA,10.262,11.57022,67.2304034233093,27.7,0.89,40.4,1.11,27.8327416935256,14.7886255920205,1.21894271014757,1.91244809497156,62.070283147291,39.7704395896149,10.0161833028378,NA,NA,NA,NA,NA,5.64446020126343,NA,NA,0.058,0.2445,0.129890920468349,0.024554410553631,1.51166,1.43438,NA,NA,5.8,24.45,12.9890920468349,2.4554410553631,15.0565042067009,1.29511698120234,49.63658791,0.084852814,6.35194541040614,9.64109966537629,0.654,5.82,3.592,NA,-0.737855878766339,0.519930675909883,51.4558531599936,41.3200131599936
"1",1981,"AUS",3,0.1428571,NA,NA,NA,NA,25.66,25.66,27.96,30.79,4.41,NA,0.73,NA,NA,NA,73.81,NA,33.03,0.19,3.23,0,65.79,NA,0.3,0.37,0.45,0.37,0.45,0.13,0.1,0.18,0.13,9.487666,9.487666,9.48766603415561,-4.2304514749,-4.2304514749,NA,-0.0747982415851978,NA,-0.0747982415851978,0.2506905506,13.9583333333,26097.0783280108,9221.45988194983,1.94,33.4218845333165,NA,8.79676210940387,NA,NA,10.134,11.70298,67.7482724189758,28.1,0.5,40.7,0.75,27.9154911095073,14.9482724502234,1.58685256936818,1.94303789229788,61.7277617739666,30.7310495013451,9.52941275340409,NA,NA,NA,NA,NA,5.64446020126343,NA,NA,0.0559,0.2436,0.130875788597912,0.0539670598542057,4.4706673333,2.215314,NA,NA,5.59,24.36,13.0875788597912,5.39670598542057,14.3228374514388,3.37221332218211,49.05454209,0.084852814,6.34049011749859,9.93366189737206,0.697,5.829,3.554,NA,-4.87275628651956,-3.62068965517241,1.14742848450591,-8.34023751549409
"1",1982,"AUS",6,0.2857143,NA,NA,NA,NA,25.74,25.74,27.08,21.43,2.54,NA,1.03,NA,NA,NA,75.37,NA,32.76,0.16,3.54,0,61.34,NA,0.29,0.37,0.45,0.37,0.45,0.13,0.07,0.15,0.11,11.35182,11.35182,11.3518197573657,-4.1462446078,-4.1462446078,NA,0.247275703883081,NA,0.247275703883081,0.2791484901,15.375,25555.129863456,9517.2425773934,1.93,31.3815922009871,NA,5.16991149508394,NA,NA,11.109,8.965257,67.5740718841553,28.2,0.76,41.3,0.98,27.0373528425337,15.0697439094119,1.66753573306185,1.9757103992294,61.5127816576624,21.3935114156108,11.7115030089482,NA,NA,NA,NA,NA,5.4701099395752,NA,NA,0.0561,0.2482,0.032075473865319,-0.0610465974860137,4.02318,-2.386563,NA,NA,5.61,24.82,3.2075473865319,-6.10465974860137,11.8847293124094,-2.07666336339693,49.3651205,0.084852814,7.21866572374011,10.2089391548493,1.189,6.095,3.674,NA,-17.0225218801494,0.357781753130599,-23.3933835655534,-34.7452035655534
"1",1983,"AUS",7,0.3333333,NA,NA,NA,NA,27.23,27.23,28.83,30.52,5.27,NA,1.62,NA,NA,NA,75.6,NA,34.22,0.39,4.56,0,60.51,NA,0.32,0.39,0.48,0.4,0.48,0.16,0.1,0.21,0.16,10.03891,10.03891,10.0389105058366,-3.2206871268,-3.2206871268,NA,-1.71521155155398,NA,-1.71521155155398,0.3071719572,13.8875,25161.0746371155,10165.6700081661,1.92,30.3499596922506,NA,7.63779085542135,NA,NA,11.612,11.62757,64.6006941795349,28.7,0.83,41.9,1.06,28.7771333273521,15.1789385008711,1.25054826434538,2.00057274514143,61.5564187650465,30.4714088008824,10.1581344366299,NA,NA,NA,NA,NA,5.36276006698608,NA,NA,0.056,0.2438,0.0681318591493014,-0.0328738102939229,3.84859,1.58866,NA,NA,5.6,24.38,6.81318591493014,-3.28738102939229,13.8002045105948,-1.54198091907959,47.32273447,0.494360911,7.42400568846308,10.1246222504982,1.365,6.041,3.626,NA,16.1171125385697,-0.178253119429602,29.6958915957457,19.6569815957457
"1",1984,"AUS",10,0.4761905,NA,NA,NA,NA,28.79,28.79,30.36,25.84,5.23,NA,2.53,NA,NA,NA,78.23,12.5,33.82,0.4,5.29,0,64.91,-0.47,0.36,0.41,0.5,0.43,0.51,0.26,0.1,0.25,0.2,3.960396,3.960396,3.96039603960395,-4.2259349069,-4.2259349069,NA,-3.21145551678003,NA,-3.21145551678003,0.3193371832,13.525,26495.8764255224,10697.389495593,1.84,31.8161137682341,NA,8.55938899130893,NA,NA,11.993,13.21127,64.459490776062,29.1,0.68,42.6,0.95,30.3032287641627,15.3103984283288,1.13222184499641,2.02335238144826,61.6758878023675,25.7960916113882,7.85944984750479,NA,NA,NA,NA,NA,5.36276006698608,NA,NA,0.0599,0.2482,0.05230540505444,0.0483082709450141,9.564604,9.250874,NA,NA,5.99,24.82,5.23054050544401,4.83082709450141,14.3057762423108,5.30502694204449,46.39254518,0.494360911,7.25317950504218,10.4921542474109,1.27,6.012,3.559,NA,3.66350898153618,6.96428571428572,13.6202147138224,9.65981871382241
"1",1985,"AUS",13,0.6190476,NA,NA,NA,NA,34.92,34.92,37.11,32.96,8.47,NA,4.67,NA,NA,NA,84.65,11.69,36.19,0.74,8.95,0,65.24,20.83,0.45,0.5,0.61,0.53,0.62,0.36,0.14,0.32,0.27,6.734694,6.734694,6.73469387755101,-4.9654602823,-4.9654602823,NA,-2.49772740788568,NA,-2.49772740788568,0.3408435649,13.9541666667,27467.1145018123,11282.5577475106,1.92,32.8796858114296,NA,6.45726735042997,NA,NA,12.084,16.51881,64.1788065433502,29.2,0.67,43,1,37.0373044933606,15.4838842772992,1.36734607483574,2.05120862241777,61.649993654017,32.8952073398354,4.63158958897274,NA,NA,NA,NA,NA,5.39561986923218,NA,NA,0.0633,0.2531,0.0547019674434282,0.0334287226574289,7.2194726667,9.784116,NA,NA,6.33,25.31,5.47019674434282,3.34287226574289,11.5696952901912,3.66561973905624,46.13356675,0.50294986,7.02685701573372,11.1466971470654,1.2,6.064,3.398,NA,-19.1257077265571,5.67612687813021,25.0357459956537,18.3010519956537
"1",1986,"AUS",12,0.5714286,NA,NA,NA,NA,38.75,38.75,40.39,65.54,12.45,NA,8.18,NA,NA,NA,97.97,12.17,36.41,1.43,14.06,0,72.54,34.98,0.49,0.56,0.68,0.59,0.69,0.35,0.26,0.23,0.29,9.05035,9.05035,9.05035054174635,-5.0672227728,-5.0672227728,NA,-1.91589251056713,NA,-1.91589251056713,0.3718277276,13.4166666667,27565.409548374,11370.3830643753,1.87,32.5242516422045,NA,5.34585042379691,NA,NA,11.918,22.2822,63.194215297699,29.4,0.84,43.2,1.1,40.3155181539925,15.6739062982749,1.63898886728063,2.08510472124234,61.4602020176797,65.4169790713195,6.45582415761285,NA,NA,NA,NA,NA,5.27070999145508,NA,NA,0.0675,0.2605,0.00778416728104747,-0.0108101449406658,4.3663166667,13.23185,NA,NA,6.75,26.05,0.778416728104747,-1.08101449406658,8.93628948622362,0.357864480286832,45.44134314,0.50294986,6.86949291109698,10.9236886053483,1.209,6.263,3.29,NA,-22.7612373352666,6.63507109004739,34.8898619210464,25.8395119210464
"1",1987,"AUS",14,0.6666667,NA,NA,NA,NA,40.17,40.17,42.87,81.64,30.41,NA,16.8,NA,NA,NA,99.75,20.59,37.62,0.14,23.74,0,87.74,44.99,0.57,0.58,0.7,0.61,0.71,0.37,0.38,0.46,0.41,8.533022,8.533022,8.53302162478083,-3.4206173749,-3.4206173749,NA,-0.784006819881071,NA,-0.784006819881071,0.4033868867,13.1916666667,28587.5326057354,11833.843419305,1.85,31.9125569450082,NA,7.96242244543827,NA,NA,12.172,31.04002,61.3189876079559,29.6,0.96,43.4,1.17,42.7954524809414,15.8817961237423,1.52098662618978,2.11706129674707,61.4300383056954,81.4945996436333,7.0561823886453,NA,NA,NA,NA,NA,5.06071996688843,NA,NA,0.0796,0.2778,0.0407603114429603,-0.0188073411780686,4.6586446667,22.506998,NA,NA,7.96,27.78,4.07603114429603,-1.88073411780686,7.87586313114459,3.7079915521215,44.41653543,0.500529655,6.66391328066969,10.2274933810861,1.042,6.101,3.24,NA,-11.8665174926775,17.9259259259259,39.304108211936,30.771086211936
"1",1988,"AUS",15,0.7142857,NA,NA,NA,NA,43.94,43.94,46.81,58.41,17.38,43.03,16.76,NA,NA,NA,101.78,34.44,39.36,0.88,21.9,0,84.26,-14.61,0.53,0.57,0.74,0.52,0.7,0.37,0.27,0.37,0.34,7.21594,7.21594,7.21593968766826,-3.8798806102,-3.8798806102,NA,0.531362402103258,NA,0.531362402103258,0.4324793747,12.1041666667,29372.8566914048,12737.8742443209,1.83,36.5306485199625,NA,9.03176737426829,NA,NA,11.465,26.97814,60.9080970287323,29.9,0.89,43.6,1.07,46.7324602634004,16.0998921235089,1.63620665679268,2.1519857334392,61.3321457519265,58.3074169240774,7.19857603182091,NA,NA,NA,NA,NA,4.90948009490967,NA,NA,0.0981,0.2948,0.076393678113158,0.144710797787598,4.8882266667,19.7622,NA,NA,9.81,29.48,7.6393678113158,14.4710797787598,8.69081491208871,2.74708592903132,42.78724497,0.500529655,6.1630607505195,9.75295060370235,0.831,6.057,2.892,NA,10.3474599212046,23.2412060301508,-13.0859451765817,-20.3018851765817
"1",1989,"AUS",15,0.7142857,NA,NA,NA,NA,56.23,56.23,59.37,46.9,14.55,37.45,16.01,NA,NA,NA,102.91,14.94,46.63,-0.15,19.72,0,74.82,7.24,0.56,0.63,0.87,0.61,0.8,0.29,0.24,0.38,0.3,7.533903,7.533903,7.53390256152692,-6.0200780786,-6.0200780786,-6.11809646779737,0.4024880123,0.4024880123,1.67271048092464,0.4652627008,13.4083333333,30124.8926129261,13589.7514156209,1.84,42.8130118905898,NA,7.68744021415383,NA,NA,11.604,28.96189,61.8466675281525,30.1,0.62,43.8,0.77,59.2758288174496,16.3204114880821,1.69256678030677,2.18871952410086,61.1991328860976,46.8207349699167,9.24600913719451,9.2945603,NA,NA,NA,NA,4.74096012115479,NA,NA,0.0804,0.2736,0.0668774989421649,0.171975139373566,5.8744303333,21.427987,NA,NA,8.04,27.36,6.68774989421649,17.1975139373566,8.65973548921377,2.56030909564668,41.42173125,0.517037895,6.15840561189809,9.69179546628634,0.76,6.109,2.843,NA,-0.357612297457972,-18.0428134556575,7.3531755710364,-0.180727428963596
