country;year;CENT;CENTconf;CENTratio;CENTunion;CONCconf;CONCunion
Argentina;2017;;;;;;
Argentina;2016;;;;;;
Argentina;2015;;;;;;
Argentina;2014;;;;;;
Argentina;2013;;0.65;;;;
Argentina;2012;;0.65;;;;
Argentina;2011;;0.65;;;0.781640258;
Argentina;2010;;0.65;;;;
Argentina;2009;;0.65;;;;
Argentina;2008;;0.65;;;0.788837313;
Argentina;2007;;0.65;;;;
Argentina;2006;;0.65;;;;
Argentina;2005;;0.65;;;;
Argentina;2004;;0.65;;;;
Argentina;2003;;0.65;;;;
Argentina;2002;;0.65;;;;
Argentina;2001;;0.6;;;;
Argentina;2000;;0.6;;;;
Argentina;1999;;0.6;;;;
Argentina;1998;;0.6;;;;
Argentina;1997;;0.6;;;;
Argentina;1996;;0.6;;;;
Argentina;1995;;0.6;;;;
Argentina;1994;;0.6;;;;
Argentina;1993;;0.6;;;;
Argentina;1992;;0.6;;;;
Argentina;1991;;0.6;;;;
Argentina;1990;;;;;;
Argentina;1989;;;;;;
Argentina;1988;;;;;;
Argentina;1987;;;;;;
Argentina;1986;;;;;;
Argentina;1985;;;;;;
Argentina;1984;;;;;;
Argentina;1983;;;;;;
Argentina;1982;;;;;;
Argentina;1981;;;;;;
Argentina;1980;;;;;;
Argentina;1979;;;;;;
Argentina;1978;;;;;;
Argentina;1977;;;;;;
Argentina;1976;;;;;;
Argentina;1975;;;;;;
Argentina;1974;;;;;;
Argentina;1973;;;;;;
Argentina;1972;;;;;;
Argentina;1971;;;;;;
Argentina;1970;;;;;;
Argentina;1969;;;;;;
Argentina;1968;;;;;;
Argentina;1967;;;;;;
Argentina;1966;;;;;;
Argentina;1965;;;;;;
Argentina;1964;;;;;;
Argentina;1963;;;;;;
Argentina;1962;;;;;;
Argentina;1961;;;;;;
Argentina;1960;;;;;;
Australia;2017;0.3742;0;;0.3742;0.81;0.076
Australia;2016;;;;;0.81;
Australia;2015;0.122474487;0;0;0.122474487;0.815918464;0.075
Australia;2014;;;;;;
Australia;2013;0.122474487;0;0;0.122474487;0.804071147;0.075
Australia;2012;;;;;;
Australia;2011;;;;;;
Australia;2010;;;;;;
Australia;2009;;;;;;
Australia;2008;0.12;0;0;0.12;0.817603969;0.072
Australia;2007;;;;;;
Australia;2006;;;;;;
Australia;2005;0.118321596;0;0;0.118321596;;0.07
Australia;2004;;;;;;
Australia;2003;0.118321596;0;0;0.118321596;0.818594104;0.07
Australia;2002;;;;;;
Australia;2001;;;;;;
Australia;2000;0.096953597;0;0;0.096953597;0.800350036;0.047
Australia;1999;;;;;;
Australia;1998;;;;;;
Australia;1997;;;;;;
Australia;1996;0.084852814;0;0;0.084852814;0.801895984;0.036
Australia;1995;0.12;0;0;0.12;0.879506772;0.036
Australia;1994;;;;;;
Australia;1993;0.105830052;0;0;0.105830052;0.904922808;0.028
Australia;1992;;;;;;
Australia;1991;0.513047135;0.407217083;3.84783975;0.105830052;0.829128761;0.028
Australia;1990;;;;;;
Australia;1989;0.517037895;0.411207843;3.885548891;0.105830052;0.84545945;0.028
Australia;1988;;;;;;
Australia;1987;0.500529655;0.418067542;5.069813635;0.082462113;0.87390235;0.017
Australia;1986;;;;;;
Australia;1985;0.50294986;0.420487747;5.09916293;0.082462113;0.884049728;0.017
Australia;1984;;;;;;
Australia;1983;0.494360911;0.411898798;4.995006626;0.082462113;0.8483031;0.017
Australia;1982;;;;;;
Australia;1981;0.084852814;0;0;0.084852814;0.743187592;0.018
Australia;1980;;;;;;
Australia;1979;0.084852814;0;0;0.084852814;0.623775563;0.018
Australia;1978;;;;;;
Australia;1977;0.087177979;0;0;0.087177979;0.528610245;0.019
Australia;1976;;;;;;
Australia;1975;0.087177979;0;0;0.087177979;0.511884611;0.019
Australia;1974;;;;;;
Australia;1973;0.087177979;0;0;0.087177979;0.498931576;0.019
Australia;1972;;;;;;
Australia;1971;0.084852814;0;0;0.084852814;0.498492861;0.018
Australia;1970;;;;;;
Australia;1969;0.084852814;0;0;0.084852814;0.503965877;0.018
Australia;1968;;;;;;
Australia;1967;0.082462113;0;0;0.082462113;0.492317456;0.017
Australia;1966;;;;;;
Australia;1965;0.082462113;0;0;0.082462113;0.351621043;0.017
Australia;1964;;;;;;
Australia;1963;0.082462113;0;0;0.082462113;0.334665203;0.017
Australia;1962;;;;;;
Australia;1961;0.084852814;0;0;0.084852814;0.33955506;0.018
Australia;1960;;;;;;
Austria;2017;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2016;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2015;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2014;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2013;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2012;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2011;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2010;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2009;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2008;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
Austria;2007;1.098387972;0.894427191;4.385290097;0.203960781;1;0.104
