Time,Time Code,Country Name,Country Code,Current account balance (% of GDP),Net lending (+) / net borrowing (-) (% of GDP)
1960,YR1960,Andorra,AND,..,..
1960,YR1960,Antigua and Barbuda,ATG,..,..
1960,YR1960,Aruba,ABW,..,..
1960,YR1960,Australia,AUS,..,..
1960,YR1960,Austria,AUT,..,..
1960,YR1960,Bahamas,BHS,..,..
1960,YR1960,Bahrain,BHR,..,..
1960,YR1960,Barbados,BRB,..,..
1960,YR1960,Belgium,BEL,..,..
1960,YR1960,Bermuda,BMU,..,..
1960,YR1960,British Virgin Islands,VGB,..,..
1960,YR1960,Brunei Darussalam,BRN,..,..
1960,YR1960,Canada,CAN,-2.93410062327002,..
1960,YR1960,Cayman Islands,CYM,..,..
1960,YR1960,Channel Islands,CHI,..,..
1960,YR1960,Chile,CHL,..,..
1960,YR1960,Croatia,HRV,..,..
1960,YR1960,Curacao,CUW,..,..
1960,YR1960,Cyprus,CYP,..,..
1960,YR1960,Czech Republic,CZE,..,..
1960,YR1960,Denmark,DNK,..,..
1960,YR1960,Estonia,EST,..,..
1960,YR1960,Faroe Islands,FRO,..,..
1960,YR1960,Finland,FIN,..,..
1960,YR1960,France,FRA,..,..
1960,YR1960,French Polynesia,PYF,..,..
1960,YR1960,Germany,DEU,..,..
1960,YR1960,Gibraltar,GIB,..,..
1960,YR1960,Greece,GRC,..,..
1960,YR1960,Greenland,GRL,..,..
1960,YR1960,Guam,GUM,..,..
1960,YR1960,China,HKG,..,..
1960,YR1960,Hungary,HUN,..,..
1960,YR1960,Iceland,ISL,..,..
1960,YR1960,Ireland,IRL,..,..
1960,YR1960,Isle of Man,IMN,..,..
1960,YR1960,Israel,ISR,-1.57783336540312,..
1960,YR1960,Italy,ITA,..,..
1960,YR1960,Japan,JPN,..,..
1960,YR1960,Korea,KOR,..,..
1960,YR1960,Kuwait,KWT,..,..
1960,YR1960,Latvia,LVA,..,..
1960,YR1960,Liechtenstein,LIE,..,..
1960,YR1960,Lithuania,LTU,..,..
1960,YR1960,Luxembourg,LUX,..,..
1960,YR1960,Chinaa,MAC,..,..
1960,YR1960,Malta,MLT,..,..
1960,YR1960,Monaco,MCO,..,..
1960,YR1960,Nauru,NRU,..,..
1960,YR1960,Netherlands,NLD,..,..
1960,YR1960,New Caledonia,NCL,..,..
1960,YR1960,New Zealand,NZL,..,..
1960,YR1960,Northern Mariana Islands,MNP,..,..
1960,YR1960,Norway,NOR,..,..
1960,YR1960,Oman,OMN,..,..
1960,YR1960,Panama,PAN,..,..
1960,YR1960,Poland,POL,..,..
1960,YR1960,Portugal,PRT,..,..
1960,YR1960,Puerto Rico,PRI,..,..
1960,YR1960,Qatar,QAT,..,..
1960,YR1960,Romania,ROU,..,..
1960,YR1960,San Marino,SMR,..,..
1960,YR1960,Saudi Arabia,SAU,..,..
1960,YR1960,Seychelles,SYC,..,..
1960,YR1960,Singapore,SGP,..,..
1960,YR1960,Sint Maarten (Dutch part),SXM,..,..
1960,YR1960,Slovak Republic,SVK,..,..
1960,YR1960,Slovenia,SVN,..,..
1960,YR1960,Spain,ESP,..,..
1960,YR1960,St. Kitts and Nevis,KNA,..,..
1960,YR1960,St. Martin (French part),MAF,..,..
1960,YR1960,Sweden,SWE,..,..
1960,YR1960,Switzerland,CHE,..,..
1960,YR1960,Trinidad and Tobago,TTO,..,..
1960,YR1960,Turks and Caicos Islands,TCA,..,..
1960,YR1960,United Arab Emirates,ARE,..,..
1960,YR1960,United Kingdom,GBR,..,..
1960,YR1960,United States,USA,..,..
1960,YR1960,Uruguay,URY,..,..
1960,YR1960,Virgin Islands (U.S.),VIR,..,..
1961,YR1961,Andorra,AND,..,..
1961,YR1961,Antigua and Barbuda,ATG,..,..
1961,YR1961,Aruba,ABW,..,..
1961,YR1961,Australia,AUS,..,..
1961,YR1961,Austria,AUT,..,..
1961,YR1961,Bahamas,BHS,..,..
1961,YR1961,Bahrain,BHR,..,..
1961,YR1961,Barbados,BRB,..,..
1961,YR1961,Belgium,BEL,..,..
1961,YR1961,Bermuda,BMU,..,..
1961,YR1961,British Virgin Islands,VGB,..,..
1961,YR1961,Brunei Darussalam,BRN,..,..
1961,YR1961,Canada,CAN,-2.70156288880975,..
1961,YR1961,Cayman Islands,CYM,..,..
1961,YR1961,Channel Islands,CHI,..,..
1961,YR1961,Chile,CHL,..,..
1961,YR1961,Croatia,HRV,..,..
1961,YR1961,Curacao,CUW,..,..
1961,YR1961,Cyprus,CYP,..,..
1961,YR1961,Czech Republic,CZE,..,..
1961,YR1961,Denmark,DNK,..,..
1961,YR1961,Estonia,EST,..,..
1961,YR1961,Faroe Islands,FRO,..,..
1961,YR1961,Finland,FIN,..,..
1961,YR1961,France,FRA,..,..
1961,YR1961,French Polynesia,PYF,..,..
1961,YR1961,Germany,DEU,..,..
1961,YR1961,Gibraltar,GIB,..,..
1961,YR1961,Greece,GRC,..,..
1961,YR1961,Greenland,GRL,..,..
1961,YR1961,Guam,GUM,..,..
1961,YR1961,China,HKG,..,..
1961,YR1961,Hungary,HUN,..,..
1961,YR1961,Iceland,ISL,..,..
1961,YR1961,Ireland,IRL,..,..
1961,YR1961,Isle of Man,IMN,..,..
1961,YR1961,Israel,ISR,-3.28182252668472,..
1961,YR1961,Italy,ITA,..,..
1961,YR1961,Japan,JPN,..,..
1961,YR1961,Korea,KOR,..,..
1961,YR1961,Kuwait,KWT,..,..
1961,YR1961,Latvia,LVA,..,..
1961,YR1961,Liechtenstein,LIE,..,..
1961,YR1961,Lithuania,LTU,..,..
1961,YR1961,Luxembourg,LUX,..,..
1961,YR1961,Chinaa,MAC,..,..
1961,YR1961,Malta,MLT,..,..
1961,YR1961,Monaco,MCO,..,..
1961,YR1961,Nauru,NRU,..,..
1961,YR1961,Netherlands,NLD,..,..
1961,YR1961,New Caledonia,NCL,..,..
1961,YR1961,New Zealand,NZL,..,..
1961,YR1961,Northern Mariana Islands,MNP,..,..
1961,YR1961,Norway,NOR,..,..
1961,YR1961,Oman,OMN,..,..
1961,YR1961,Panama,PAN,..,..
1961,YR1961,Poland,POL,..,..
1961,YR1961,Portugal,PRT,..,..
1961,YR1961,Puerto Rico,PRI,..,..
1961,YR1961,Qatar,QAT,..,..
1961,YR1961,Romania,ROU,..,..
1961,YR1961,San Marino,SMR,..,..
1961,YR1961,Saudi Arabia,SAU,..,..
1961,YR1961,Seychelles,SYC,..,..
1961,YR1961,Singapore,SGP,..,..
1961,YR1961,Sint Maarten (Dutch part),SXM,..,..
1961,YR1961,Slovak Republic,SVK,..,..
1961,YR1961,Slovenia,SVN,..,..
1961,YR1961,Spain,ESP,..,..
1961,YR1961,St. Kitts and Nevis,KNA,..,..
1961,YR1961,St. Martin (French part),MAF,..,..
1961,YR1961,Sweden,SWE,..,..
1961,YR1961,Switzerland,CHE,..,..
1961,YR1961,Trinidad and Tobago,TTO,..,..
1961,YR1961,Turks and Caicos Islands,TCA,..,..
1961,YR1961,United Arab Emirates,ARE,..,..
1961,YR1961,United Kingdom,GBR,..,..
1961,YR1961,United States,USA,..,..
1961,YR1961,Uruguay,URY,..,..
1961,YR1961,Virgin Islands (U.S.),VIR,..,..
1962,YR1962,Andorra,AND,..,..
1962,YR1962,Antigua and Barbuda,ATG,..,..
1962,YR1962,Aruba,ABW,..,..
1962,YR1962,Australia,AUS,..,..
1962,YR1962,Austria,AUT,..,..
1962,YR1962,Bahamas,BHS,..,..
1962,YR1962,Bahrain,BHR,..,..
1962,YR1962,Barbados,BRB,..,..
1962,YR1962,Belgium,BEL,..,..
1962,YR1962,Bermuda,BMU,..,..
1962,YR1962,British Virgin Islands,VGB,..,..
1962,YR1962,Brunei Darussalam,BRN,..,..
1962,YR1962,Canada,CAN,-2.5588377993532,..
1962,YR1962,Cayman Islands,CYM,..,..
1962,YR1962,Channel Islands,CHI,..,..
1962,YR1962,Chile,CHL,..,..
1962,YR1962,Croatia,HRV,..,..
1962,YR1962,Curacao,CUW,..,..
1962,YR1962,Cyprus,CYP,..,..
1962,YR1962,Czech Republic,CZE,..,..
1962,YR1962,Denmark,DNK,..,..
1962,YR1962,Estonia,EST,..,..
1962,YR1962,Faroe Islands,FRO,..,..
1962,YR1962,Finland,FIN,..,..
1962,YR1962,France,FRA,..,..
1962,YR1962,French Polynesia,PYF,..,..
1962,YR1962,Germany,DEU,..,..
1962,YR1962,Gibraltar,GIB,..,..
1962,YR1962,Greece,GRC,..,..
1962,YR1962,Greenland,GRL,..,..
1962,YR1962,Guam,GUM,..,..
1962,YR1962,China,HKG,..,..
1962,YR1962,Hungary,HUN,..,..
1962,YR1962,Iceland,ISL,..,..
1962,YR1962,Ireland,IRL,..,..
1962,YR1962,Isle of Man,IMN,..,..
1962,YR1962,Israel,ISR,0,..
