Country;Variable;Percentile;Year;Value
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1960;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1961;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1962;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1963;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1964;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1965;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1966;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1967;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1968;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1969;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1970;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1971;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1972;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1973;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1974;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1975;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1976;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1977;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1978;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1979;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1980;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1981;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1982;
